,cox_z,mut_info,rsf_perm,shap,mean_rank
days_to_rehab,61.1115,0.4455,0.0725,0.8852,2.0
drs_adm,75.2231,0.1743,0.0454,0.4621,2.5
fim_cog_adm,77.8143,0.1438,0.0358,0.4841,2.75
tfc_days,43.501,0.3059,0.0222,0.1413,4.5
fim_tot_adm,72.4301,0.1703,0.0059,0.0461,5.5
gcs,23.6965,0.0895,0.0034,0.0511,7.25
fim_mot_adm,65.0122,0.1334,0.0034,0.0316,7.5
inj_year,10.0321,0.0094,0.0053,0.1606,9.0
age,0.0392,0.0375,0.0027,0.1962,10.25
cause,2.2366,0.019,0.0011,0.0316,11.5
gcs_sedated,16.85,0.0251,0.0005,0.0046,12.0
edu_years,10.1768,0.0068,0.0017,0.0255,12.25
payor,0.1209,0.0163,0.0021,0.0478,12.5
male,7.1673,0.0061,0.0007,0.0141,14.0
days_to_acute,0.451,0.0197,0.0003,0.017,14.0
emp_preinj,1.147,0.0181,0.0003,0.0097,14.5
tfc_never,0.0794,0.0007,0.0004,0.0837,15.0
age_topcoded,1.3914,0.0103,0.0,0.0,16.75
res_preinj,0.3372,0.0031,0.0,0.0039,18.0
sci,0.4498,0.0,0.0,0.0046,18.25
